date,load_gw,year,month,quarter,weekofyear,sin_week,cos_week,holiday_days,has_holiday,temp_mean,temp_min,temp_max,heating_degree_days,cooling_degree_days,lag_1,lag_2,lag_4,lag_8,lag_52,rolling_mean_4,rolling_mean_8,rolling_std_4,rolling_std_8
2015-01-04 00:00:00+00:00,47.23373958333334,2015,1,1,1,0.12053668025532305,0.992708874098054,1,1,3.502083333333333,0.9,7.5,14.497916666666669,0.0,,,,,,,,,
2015-01-11 00:00:00+00:00,56.19110119047619,2015,1,1,2,0.23931566428755774,0.970941817426052,0,0,3.9023809523809527,-0.5,11.6,14.097619047619048,0.0,47.23373958333334,,,,,,,,
2015-01-18 00:00:00+00:00,57.67267857142857,2015,1,1,3,0.3546048870425356,0.9350162426854148,0,0,4.8375,-2.9,11.2,13.1625,0.0,56.19110119047619,47.23373958333334,,,,,,,
2015-01-25 00:00:00+00:00,58.613303571428574,2015,1,1,4,0.4647231720437685,0.8854560256532099,0,0,0.0571428571428571,-3.6,3.4,17.942857142857143,0.0,57.67267857142857,56.19110119047619,,,,,,,
2015-02-01 00:00:00+00:00,58.73402976190476,2015,2,1,5,0.5680647467311558,0.8229838658936564,0,0,1.3732142857142855,-1.2,4.7,16.626785714285713,0.0,58.613303571428574,57.67267857142857,47.23373958333334,,,54.92770572916667,,5.22531627446377,
2015-02-08 00:00:00+00:00,59.32389880952381,2015,2,1,6,0.6631226582407952,0.7485107481711011,0,0,-1.243452380952381,-8.2,2.9,19.24345238095238,0.0,58.73402976190476,58.613303571428574,56.19110119047619,,,57.80277827380952,,1.1745367236576647,
2015-02-15 00:00:00+00:00,58.13777976190477,2015,2,1,7,0.7485107481711011,0.6631226582407953,0,0,1.7892857142857144,-3.8,6.7,16.210714285714285,0.0,59.32389880952381,58.73402976190476,57.67267857142857,,,58.585977678571425,,0.6834493344825009,
2015-02-22 00:00:00+00:00,57.80289880952381,2015,2,1,8,0.8229838658936564,0.5680647467311558,0,0,2.0994047619047618,-2.4,10.0,15.90059523809524,0.0,58.13777976190477,59.32389880952381,58.613303571428574,,,58.70225297619048,,0.4878508352848993,
2015-03-01 00:00:00+00:00,58.86245238095238,2015,3,1,9,0.8854560256532098,0.4647231720437686,0,0,2.4160714285714286,-2.9,8.4,15.583928571428572,0.0,57.80289880952381,58.13777976190477,58.73402976190476,47.23373958333334,,58.499651785714285,56.713678757440476,0.6710023008972541,3.9420828437647075
2015-03-08 00:00:00+00:00,59.01157738095238,2015,3,1,10,0.9350162426854148,0.35460488704253557,0,0,4.893452380952381,-1.2,14.7,13.10654761904762,0.0,58.86245238095238,57.80289880952381,59.32389880952381,56.19110119047619,,58.53175744047619,58.16726785714286,0.6887913102770286,0.9728258693010268
2015-03-15 00:00:00+00:00,56.92314880952381,2015,3,1,11,0.970941817426052,0.23931566428755804,0,0,5.0875,-0.3,11.9,12.9125,0.0,59.01157738095238,58.86245238095238,58.13777976190477,57.67267857142857,,58.45367708333333,58.51982738095238,0.5778273863866111,0.5901536529691397
2015-03-22 00:00:00+00:00,55.459291666666665,2015,3,1,12,0.992708874098054,0.120536680255323,0,0,5.691071428571429,-2.5,15.6,12.30892857142857,0.0,56.92314880952381,59.01157738095238,57.80289880952381,58.613303571428574,,58.15001934523809,58.426136160714286,0.9790381431110977,0.7745474564243202
2015-03-29 00:00:00+00:00,55.87660714285715,2015,3,1,13,1.0,-1.6081226496766366e-16,0,0,7.010714285714285,-2.1,15.2,10.989285714285714,0.0,55.459291666666665,56.92314880952381,58.86245238095238,58.73402976190476,,57.56411755952381,58.03188467261904,1.6952822990977352,1.2941145379358487
2015-04-05 00:00:00+00:00,53.36976190476191,2015,4,2,14,0.992708874098054,-0.12053668025532288,0,0,4.311309523809523,-2.9,10.1,13.688690476190477,0.0,55.87660714285715,55.459291666666665,59.01157738095238,59.32389880952381,,56.81765625,57.6747068452381,1.5869411218087468,1.4567445389334168
2015-04-12 00:00:00+00:00,51.60528571428571,2015,4,2,15,0.9709418174260521,-0.2393156642875575,0,0,8.683928571428572,-2.2,19.8,9.316071428571428,0.0,53.36976190476191,55.87660714285715,56.92314880952381,58.13777976190477,,55.407202380952384,56.93043973214286,1.4913429510011644,1.935974508479325
2015-04-19 00:00:00+00:00,53.378732142857146,2015,4,2,16,0.9350162426854148,-0.35460488704253545,0,0,9.001785714285713,1.3,20.4,8.998214285714287,0.0,51.60528571428571,53.36976190476191,55.459291666666665,57.80289880952381,,54.07773660714286,56.11387797619048,1.9798039619751955,2.6131915800561547
2015-04-26 00:00:00+00:00,52.511922619047624,2015,4,2,17,0.8854560256532099,-0.4647231720437685,0,0,11.375,2.0,21.0,6.625,0.0,53.378732142857146,51.60528571428571,55.87660714285715,58.86245238095238,,53.55759672619048,55.560857142857145,1.756568820088842,2.6721571450768224
2015-05-03 00:00:00+00:00,50.88061904761904,2015,5,2,18,0.8229838658936565,-0.5680647467311557,0,0,9.939285714285711,2.5,18.6,8.060714285714287,0.0,52.511922619047624,53.378732142857146,53.36976190476191,59.01157738095238,,52.7164255952381,54.767040922619046,0.8449756601375187,2.4881801651021846
