model,MAE,RMSE,MAPE,sMAPE,MASE,Bias
RandomForest,1.8242978261292977,2.541894875814339,3.467447805598299,3.3686818414133004,1.331818063378362,0.8194742216617231
GradientBoosting,1.930607651396728,2.6125712771233958,3.6458890227310454,3.5508104093373976,1.40942893567007,0.6823806841796698
LinearRegression,2.6142230262255364,3.633721374100418,4.998544563682994,4.761852846432065,1.9084983812177445,2.274039396667906
