date,temp_mean,temp_min,temp_max,heating_degree_days,cooling_degree_days
2015-01-04,3.502083333333333,0.9,7.5,14.497916666666667,0.0
2015-01-11,3.9023809523809527,-0.5,11.6,14.097619047619048,0.0
2015-01-18,4.8375,-2.9,11.2,13.1625,0.0
2015-01-25,0.05714285714285715,-3.6,3.4,17.942857142857143,0.0
2015-02-01,1.3732142857142857,-1.2,4.7,16.626785714285713,0.0
2015-02-08,-1.243452380952381,-8.2,2.9,19.24345238095238,0.0
2015-02-15,1.7892857142857144,-3.8,6.7,16.210714285714285,0.0
2015-02-22,2.0994047619047618,-2.4,10.0,15.900595238095239,0.0
2015-03-01,2.4160714285714286,-2.9,8.4,15.583928571428572,0.0
2015-03-08,4.893452380952381,-1.2,14.7,13.10654761904762,0.0
2015-03-15,5.0875,-0.3,11.9,12.9125,0.0
2015-03-22,5.691071428571429,-2.5,15.6,12.30892857142857,0.0
2015-03-29,7.010714285714285,-2.1,15.2,10.989285714285714,0.0
2015-04-05,4.311309523809523,-2.9,10.1,13.688690476190477,0.0
2015-04-12,8.683928571428572,-2.2,19.8,9.316071428571428,0.0
2015-04-19,9.001785714285713,1.3,20.4,8.998214285714287,0.0
2015-04-26,11.375,2.0,21.0,6.625,0.0
2015-05-03,9.939285714285713,2.5,18.6,8.060714285714287,0.0
2015-05-10,14.657738095238095,6.6,23.5,3.342261904761905,0.0
2015-05-17,12.517857142857142,4.5,26.1,5.482142857142858,0.0
2015-05-24,13.516666666666667,6.3,19.3,4.4833333333333325,0.0
2015-05-31,13.77142857142857,7.1,20.6,4.2285714285714295,0.0
2015-06-07,17.861904761904764,8.1,28.3,0.13809523809523583,0.0
2015-06-14,17.923214285714284,10.0,30.1,0.07678571428571601,0.0
2015-06-21,14.366666666666665,7.8,20.7,3.6333333333333346,0.0
2015-06-28,15.963690476190477,11.0,22.9,2.036309523809523,0.0
2015-07-05,23.875,12.8,35.5,0.0,0.0
2015-07-12,18.91904761904762,9.7,31.5,0.0,0.0
2015-07-19,19.564285714285717,14.9,30.1,0.0,0.0
2015-07-26,20.34285714285714,13.6,28.3,0.0,0.0
2015-08-02,17.3625,9.3,27.9,0.6374999999999993,0.0
2015-08-09,24.922619047619047,15.1,36.1,0.0,0.0
2015-08-16,25.066666666666666,17.3,33.5,0.0,0.0
2015-08-23,20.10892857142857,13.1,26.7,0.0,0.0
2015-08-30,20.345238095238095,12.6,29.3,0.0,0.0
2015-09-06,17.646428571428572,11.5,33.5,0.35357142857142776,0.0
2015-09-13,14.92797619047619,8.3,24.2,3.0720238095238095,0.0
2015-09-20,16.33809523809524,10.4,24.4,1.6619047619047613,0.0
2015-09-27,13.496428571428572,7.0,20.1,4.503571428571428,0.0
2015-10-04,11.783333333333333,4.5,19.4,6.216666666666667,0.0
2015-10-11,9.996428571428572,2.3,18.6,8.003571428571428,0.0
2015-10-18,6.406547619047619,0.9,10.1,11.593452380952382,0.0
2015-10-25,9.303571428571429,5.7,13.9,8.696428571428571,0.0
2015-11-01,8.391666666666666,3.2,14.3,9.608333333333334,0.0
2015-11-08,8.144642857142857,-0.1,16.3,9.855357142857143,0.0
2015-11-15,11.326785714285714,6.5,15.4,6.673214285714286,0.0
2015-11-22,8.174404761904762,-2.5,13.3,9.825595238095238,0.0
2015-11-29,2.0547619047619046,-3.0,8.9,15.945238095238096,0.0
2015-12-06,6.870238095238095,3.1,10.6,11.129761904761905,0.0
2015-12-13,6.0494047619047615,0.7,11.2,11.95059523809524,0.0
2015-12-20,6.938095238095237,-1.5,11.9,11.061904761904763,0.0
2015-12-27,9.904166666666667,3.3,13.9,8.095833333333333,0.0
2016-01-03,0.5101190476190476,-9.8,11.9,17.489880952380954,0.0
2016-01-10,-3.230357142857143,-8.8,4.0,21.230357142857144,0.0
2016-01-17,0.21964285714285714,-5.4,4.0,17.78035714285714,0.0
2016-01-24,-3.556547619047619,-12.8,4.0,21.55654761904762,0.0
2016-01-31,6.358333333333333,0.3,9.8,11.641666666666666,0.0
2016-02-07,5.732142857142857,-0.8,12.3,12.267857142857142,0.0
2016-02-14,4.158333333333333,-3.2,9.3,13.841666666666667,0.0
2016-02-21,2.6267857142857145,-2.2,10.7,15.373214285714285,0.0
2016-02-28,2.4041666666666663,-4.2,10.7,15.595833333333333,0.0
2016-03-06,2.588690476190476,-2.2,9.3,15.411309523809525,0.0
2016-03-13,2.5732142857142857,-3.2,8.2,15.426785714285714,0.0
2016-03-20,3.9410714285714286,-1.8,9.4,14.058928571428572,0.0
2016-03-27,5.9904761904761905,0.4,15.5,12.00952380952381,0.0
2016-04-03,8.02142857142857,1.1,18.3,9.97857142857143,0.0
2016-04-10,10.491071428571429,2.0,20.3,7.508928571428571,0.0
2016-04-17,9.776785714285714,2.6,16.7,8.223214285714286,0.0
2016-04-24,7.426190476190476,1.0,13.6,10.573809523809524,0.0
2016-05-01,7.6119047619047615,-0.3,17.2,10.38809523809524,0.0
2016-05-08,13.686309523809525,4.8,22.7,4.313690476190475,0.0
2016-05-15,15.416666666666666,6.7,23.3,2.583333333333334,0.0
2016-05-22,14.90892857142857,6.4,27.3,3.0910714285714302,0.0
2016-05-29,17.70595238095238,11.3,26.0,0.2940476190476211,0.0
2016-06-05,20.467261904761905,13.6,26.5,0.0,0.0
2016-06-12,18.03988095238095,11.6,25.3,0.0,0.0
2016-06-19,16.45,11.6,22.3,1.5500000000000007,0.0
2016-06-26,21.767857142857142,11.4,32.9,0.0,0.0
2016-07-03,18.979166666666668,11.8,26.7,0.0,0.0
