model,MAE,RMSE,MAPE,sMAPE,MASE,Bias
RandomForest,1.8242978261292984,2.5418948758143394,3.4674478055983005,3.368681841413302,1.3318180633783625,0.8194742216617256
LinearRegression,2.6142230262255364,3.633721374100418,4.998544563682994,4.761852846432065,1.9084983812177445,2.274039396667906
