date,actual,mean,naive,seasonal_naive,drift,sarima,sarimax_temp
2018-07-15 00:00:00+00:00,53.87878571428572,55.716641765333854,55.95719642857142,54.35202380952381,56.004865591660156,55.50954993131574,55.07008857740703
2018-07-22 00:00:00+00:00,53.46576785714286,55.716641765333854,55.95719642857142,53.961916666666674,56.05253475474888,55.36193993609507,55.372985643725116
2018-07-29 00:00:00+00:00,55.10847619047619,55.716641765333854,55.95719642857142,53.00951785714286,56.10020391783762,54.288092873617586,55.65838306585991
2018-08-05 00:00:00+00:00,54.967077380952375,55.716641765333854,55.95719642857142,52.79293452380952,56.14787308092635,53.9777732466562,55.401163016442894
2018-08-12 00:00:00+00:00,54.29031547619047,55.716641765333854,55.95719642857142,52.11597023809524,56.19554224401509,53.74844223548221,54.73935248871081
2018-08-19 00:00:00+00:00,53.30570238095238,55.716641765333854,55.95719642857142,52.12197023809524,56.243211407103814,53.485830463279974,54.313794968849194
2018-08-26 00:00:00+00:00,54.65057142857143,55.716641765333854,55.95719642857142,52.42855952380952,56.29088057019255,54.86431457061683,54.5229202446248
2018-09-02 00:00:00+00:00,54.58705357142857,55.716641765333854,55.95719642857142,52.758785714285715,56.33854973328128,54.898253704326976,54.59657059868433
2018-09-09 00:00:00+00:00,54.906511904761906,55.716641765333854,55.95719642857142,53.584172619047614,56.38621889637002,54.97615496657594,54.71743904512656
2018-09-16 00:00:00+00:00,55.12004761904762,55.716641765333854,55.95719642857142,54.84592261904762,56.433888059458745,55.649930111138744,54.90216981115183
2018-09-23 00:00:00+00:00,56.60389285714285,55.716641765333854,55.95719642857142,54.23418452380953,56.48155722254748,54.754660805104564,54.03425324236422
2018-09-30 00:00:00+00:00,56.12404166666666,55.716641765333854,55.95719642857142,54.80769047619048,56.529226385636214,55.69545607460554,56.2315000079596
2018-10-07 00:00:00+00:00,54.287059523809525,55.716641765333854,55.95719642857142,53.560232142857146,56.57689554872495,55.63579359732271,55.41176918989568
2018-10-14 00:00:00+00:00,55.84894047619047,55.716641765333854,55.95719642857142,56.333398809523814,56.624564711813676,57.952755180873396,56.91801788852545
2018-10-21 00:00:00+00:00,55.762125000000005,55.716641765333854,55.95719642857142,56.55730952380953,56.67223387490241,58.01445787772923,57.68118993751373
2018-10-28 00:00:00+00:00,58.68471428571428,55.716641765333854,55.95719642857142,57.687714285714286,56.719903037991145,58.28691437071421,58.404130048314
2018-11-04 00:00:00+00:00,55.91758928571429,55.716641765333854,55.95719642857142,53.707708333333336,56.76757220107988,57.00753409478334,56.58262898352355
2018-11-11 00:00:00+00:00,58.16347023809523,55.716641765333854,55.95719642857142,59.21035714285714,56.81524136416861,60.80712616896828,60.021359529945606
2018-11-18 00:00:00+00:00,59.69608333333333,55.716641765333854,55.95719642857142,59.97938095238095,56.86291052725734,61.47414033553401,61.379900411356545
2018-11-25 00:00:00+00:00,61.5533630952381,55.716641765333854,55.95719642857142,60.69883333333333,56.910579690346076,61.870446102593974,62.21073538338981
2018-12-02 00:00:00+00:00,62.379154761904765,55.716641765333854,55.95719642857142,61.95860119047619,56.95824885343481,62.683997540302805,62.96143819616477
2018-12-09 00:00:00+00:00,62.32269047619047,55.716641765333854,55.95719642857142,63.12195833333333,57.00591801652354,63.06585409317765,62.718249050100894
2018-12-16 00:00:00+00:00,63.2435,55.716641765333854,55.95719642857142,62.71340476190477,57.05358717961227,61.845828026923996,63.11808941706968
