date,Actual,Mean,Naive,Seasonal naive,Drift,SARIMAX,Linear Regression,Random Forest,MLP
2018-10-14,55.84894047619047,55.65054511874547,54.287059523809525,56.333398809523814,54.32304585003644,56.63735524899923,56.32931064283389,55.75019542799525,60.53388344571535
2018-10-21,55.762125000000005,55.65054511874547,54.287059523809525,56.55730952380953,54.35903217626336,56.87666586013427,56.530555970573914,56.853154708135044,59.94087472115946
2018-10-28,58.68471428571428,55.65054511874547,54.287059523809525,57.687714285714286,54.39501850249028,58.06238348896121,57.740078752783575,57.41949437342104,60.37844777733311
2018-11-04,55.91758928571429,55.65054511874547,54.287059523809525,53.707708333333336,54.4310048287172,54.00724188340836,57.344438431279514,54.51148961234546,59.50431951301951
2018-11-11,58.16347023809523,55.65054511874547,54.287059523809525,59.21035714285714,54.46699115494412,58.113380557516955,58.210259932545796,57.81049344192068,60.690355853605936
2018-11-18,59.69608333333333,55.65054511874547,54.287059523809525,59.97938095238095,54.502977481171044,59.904325565490296,60.617283534076705,58.76888123467889,60.307638099084315
2018-11-25,61.5533630952381,55.65054511874547,54.287059523809525,60.69883333333333,54.53896380739796,61.2044505500683,61.58119074195429,60.21739376588874,60.74778401767149
2018-12-02,62.379154761904765,55.65054511874547,54.287059523809525,61.95860119047619,54.57495013362488,61.75080600408496,63.060192559929874,61.61826259282884,60.49226036362447
2018-12-09,62.32269047619047,55.65054511874547,54.287059523809525,63.12195833333333,54.6109364598518,62.07498616158349,62.85022356618356,59.23678745090933,60.74884504884709
2018-12-16,63.2435,55.65054511874547,54.287059523809525,62.71340476190477,54.64692278607872,62.326800400248416,63.313722193704734,61.96648813608592,60.64620958105992
2018-12-23,59.40855952380953,55.65054511874547,54.287059523809525,57.949869047619046,54.68290911230564,57.74689238889659,60.93781029590696,60.29458657943957,59.985394085105824
2018-12-30,49.075583333333334,55.65054511874547,54.287059523809525,48.223803571428576,54.718895438532556,48.337845441576235,54.94119783846304,50.42652500006298,58.5753872342014
2019-01-06,53.805875,55.65054511874547,54.287059523809525,54.85843452380953,54.754881764759475,55.85634094958718,56.17596862699361,55.224342431728644,58.1703308365654
2019-01-13,62.37220238095239,55.65054511874547,54.287059523809525,60.05204761904762,54.79086809098639,59.74416614875606,60.05331774419756,58.55051789275481,58.75905861931989
2019-01-20,62.42349404761905,55.65054511874547,54.287059523809525,61.86826785714286,54.82685441721331,61.71235443350568,63.226726024160826,61.71959382146797,58.92007933248968
2019-01-27,63.58701190476191,55.65054511874547,54.287059523809525,60.128232142857144,54.86284074344023,61.876586052916316,62.66750345973355,61.56575243647938,58.986627706992735
2019-02-03,62.08876785714286,55.65054511874547,54.287059523809525,60.81609523809524,54.898827069667156,61.418967347709525,63.26173763568795,61.20789473407262,59.00183382356083
