date,actual,sarima_forecast,ci_lower,ci_upper
2018-07-15 00:00:00+00:00,53.87878571428572,55.50954993131574,52.82032623191563,58.19877363071585
2018-07-22 00:00:00+00:00,53.46576785714286,55.36193993609507,52.47693492264396,58.246944949546176
2018-07-29 00:00:00+00:00,55.10847619047619,54.288092873617586,51.38945974370303,57.186726003532144
2018-08-05 00:00:00+00:00,54.967077380952375,53.9777732466562,51.07755476451764,56.877991728794754
2018-08-12 00:00:00+00:00,54.29031547619047,53.74844223548221,50.84794128734254,56.648943183621874
2018-08-19 00:00:00+00:00,53.30570238095238,53.485830463279974,50.58526939684596,56.38639152971399
2018-08-26 00:00:00+00:00,54.65057142857143,54.86431457061683,51.96374006743264,57.764889073801015
2018-09-02 00:00:00+00:00,54.58705357142857,54.898253704326976,51.99767616277287,57.79883124588108
2018-09-09 00:00:00+00:00,54.906511904761906,54.97615496657594,52.07557673608332,57.87673319706856
2018-09-16 00:00:00+00:00,55.12004761904762,55.649930111138744,52.74935172435897,58.55050849791852
2018-09-23 00:00:00+00:00,56.60389285714285,54.754660805104564,51.85408238281559,57.65523922739354
2018-09-30 00:00:00+00:00,56.12404166666666,55.69545607460554,52.79487764427053,58.59603450494055
2018-10-07 00:00:00+00:00,54.287059523809525,55.63579359732271,52.73521516511432,58.5363720295311
2018-10-14 00:00:00+00:00,55.84894047619047,57.952755180873396,55.05217674825116,60.85333361349563
2018-10-21 00:00:00+00:00,55.762125000000005,58.01445787772923,55.11387944496542,60.915036310493036
2018-10-28 00:00:00+00:00,58.68471428571428,58.28691437071421,55.386335937929516,61.1874928034989
2018-11-04 00:00:00+00:00,55.91758928571429,57.00753409478334,54.10695566194624,59.90811252762044
2018-11-11 00:00:00+00:00,58.16347023809523,60.80712616896828,57.906547736130534,63.70770460180603
2018-11-18 00:00:00+00:00,59.69608333333333,61.47414033553401,58.57356190264843,64.3747187684196
2018-11-25 00:00:00+00:00,61.5533630952381,61.870446102593974,58.96986766970865,64.7710245354793
2018-12-02 00:00:00+00:00,62.379154761904765,62.683997540302805,59.78341910736878,65.58457597323684
2018-12-09 00:00:00+00:00,62.32269047619047,63.06585409317765,60.16527566024294,65.96643252611236
2018-12-16 00:00:00+00:00,63.2435,61.845828026923996,58.945249594638746,64.74640645920924
2018-12-23 00:00:00+00:00,59.40855952380953,55.87274332766917,52.972164906000344,58.773321749337995
2018-12-30 00:00:00+00:00,49.075583333333334,49.68769172858335,46.78711334545383,52.58827011171287
2019-01-06 00:00:00+00:00,53.805875,58.33418140510851,55.43303037702937,61.23533243318765
2019-01-13 00:00:00+00:00,62.37220238095239,61.89461093774992,59.058860701758945,64.73036117374089
2019-01-20 00:00:00+00:00,62.42349404761905,63.10048355823021,60.26468275803084,65.93628435842957
2019-01-27 00:00:00+00:00,63.58701190476191,62.27119933293268,59.43461169273035,65.107786973135
