p,d,q,P,D,Q,s,aic,bic
1,1,2,0,1,1,52,280.2415961131496,291.89526281458126
1,1,1,0,1,1,52,281.2333938502429,290.60861553765767
2,1,1,0,1,1,52,283.2035532601348,294.92258036940325
1,1,2,1,1,1,52,283.4802424393171,297.4646424810351
1,1,1,1,1,1,52,284.52160111852294,296.2406282277914
2,1,1,1,1,1,52,286.52031400046405,300.5831465315862
