model,MAE,RMSE,MAPE,sMAPE,MASE,Bias
seasonal_naive,1.934977562635015,2.693204421176786,3.645190290287305,3.5386429429108275,1.4562056478721217,1.0204283410232935
mean,3.3964873439683783,4.1407449628184425,6.194550301848756,6.129504909021512,2.5560937494683857,0.15734574738278842
naive,3.4199872924884933,4.1568420585414,6.2634449502321425,6.171444259839828,2.5737791006685797,0.3979004106203559
drift,4.325794711916171,5.603797203758097,8.198111841277528,7.719975628237467,3.2554623953620903,2.9005314727788223
sarima,2.6629098229457857,3.4494615531939608,5.017338707212446,4.810121872249586,2.0040254723507838,2.3389110520303724
sarimax_temp,2.5260403797856554,3.3577601566248996,4.785742463473808,4.585624608199842,1.9010216649683989,2.287777046391411
